Pos,City,NWSL Team,MLS Team,NWSL Pld,MLS Pld,NWSL Points,MLS Points,Points,Pts/Pld
1,"Portland, OR",Portland Thorns FC,Portland Timbers,24,34,47,53,100,1.7
2,"Chicago, IL",Chicago Red Stars,Chicago Fire,24,34,39,55,94,1.6
3,"Seattle, WA",Seattle Reign FC,Seattle Sounders FC,24,34,34,53,87,1.5
4,"Harrison, NJ",Sky Blue FC,New York Red Bulls,24,34,33,50,83,1.4
5,"Orlando, FL",Orlando Pride,Orlando City SC,24,34,40,39,79,1.4
6,"Houston, TX",Houston Dash,Houston Dynamo,24,34,24,50,74,1.3
7,"Toronto, ON",--,Toronto FC,0,34,0,69,69,2.0
8,"Boston, MA",Boston Breakers,New England Revolution,24,34,19,45,64,1.1
9,"New York, NY",--,New York City FC,0,34,0,57,57,1.7
10,"Atlanta, GA",--,Atlanta United FC,0,34,0,55,55,1.6
11,"Columbus, OH",--,Columbus Crew,0,34,0,54,54,1.6
12,"Vancouver, BC",--,Vancouver Whitecaps FC,0,34,0,52,52,1.5
13,"Washington, DC",Washington Spirit,D.C. United,24,34,19,32,51,0.9
14,"Kansas City, MO/KS",--,Sporting Kansas City,0,34,0,49,49,1.4
14,"Raleigh, NC",North Carolina Courage,--,24,0,49,0,49,2.0
16,"Dallas, TX",--,FC Dallas,0,34,0,46,46,1.4
16,"San Jose, CA",--,San Jose Earthquakes,0,34,0,46,46,1.4
18,"Salt Lake City, UT",--,Real Salt Lake,0,34,0,45,45,1.3
19,"Philadelphia, PA",--,Philadelphia Union,0,34,0,42,42,1.2
20,"Montreal, QC",--,Montreal Impact,0,34,0,39,39,1.1
21,"Milwaukee, MN",--,Minnesota United FC,0,34,0,36,36,1.1
22,"Denver, CO",--,Colorado Rapids,0,34,0,33,33,1.0
23,"Carson, CA",--,LA Galaxy,0,34,0,32,32,0.9
